X,Y,Z,State,MicroHeight
1.257513,2.297047,1.224600,1,0.000000
1.280914,2.260555,1.205713,1,0.000000
1.234177,2.366743,1.186826,1,0.000000
1.224962,2.326280,1.183614,1,0.000000
1.251739,2.330560,1.159280,1,0.000000
1.180046,2.365757,1.138158,1,0.000000
0.975030,2.426805,1.135397,1,0.000000
0.847420,2.391495,1.132635,1,0.000000
0.937215,2.350984,1.127979,1,0.000000
0.910240,2.229938,1.116640,1,0.000000
0.882625,2.302905,1.109958,1,0.000000
0.859766,2.311042,1.091733,1,0.000000
0.809303,2.406535,1.080954,1,0.000000
0.799895,2.204539,1.061336,1,0.000000
0.763138,2.355705,1.052498,1,0.000000
0.932342,2.254610,1.031614,1,0.000000
NaN,NaN,1.029971,1,0.000000
0.951846,2.289641,1.028328,1,0.000000
NaN,NaN,1.026903,1,0.000000
0.821152,2.370894,1.019235,1,0.000000
NaN,NaN,0.999495,1,0.000000
NaN,NaN,0.985998,1,0.000000
0.774876,2.138408,0.985998,1,0.000000
0.796623,2.283858,0.982832,1,0.000000
NaN,NaN,0.979666,1,0.000000
NaN,NaN,0.979218,1,0.000000
0.933658,2.321634,0.973552,1,0.000000
NaN,NaN,0.965493,1,0.000000
0.542352,2.399446,0.957433,1,0.000000
NaN,NaN,0.954330,1,0.000000
0.816687,2.264608,0.951227,1,0.000000
NaN,NaN,0.929004,1,0.000000
0.973046,2.074811,0.906780,1,0.000000
NaN,NaN,0.904040,1,0.000000
1.165733,2.052876,0.901301,1,0.000000
NaN,NaN,0.857684,2,0.000000
0.634870,2.579804,0.814066,2,0.000000
NaN,NaN,0.814066,2,0.000000
0.772302,2.206984,0.807831,2,0.000000
0.813764,2.152780,0.807831,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
